so_no,sku,ordered_qty,allocated_qty
6290,198838400281,2.00,2.00
6325,198838400281,2.00,2.00
6326,198838400281,2.00,2.00
6290,198838400304,2.00,2.00
6326,198838400304,2.00,2.00
6290,198838400328,3.00,3.00
6326,198838400328,1.00,1.00
6290,198838400342,2.00,2.00
6326,198838400342,3.00,3.00
6290,198838400366,2.00,2.00
6326,198838400366,1.00,1.00
6290,198838400380,2.00,2.00
6326,198838400380,2.00,2.00
6290,198838400403,2.00,2.00
6326,198838400403,2.00,2.00
6290,120851600027,3.00,3.00
6326,120851600027,1.00,1.00
6290,120702800019,1.00,1.00
6326,120702800019,2.00,2.00
6290,120702800026,1.00,1.00
6326,120702800026,1.00,1.00
6290,120702800033,2.00,2.00
6326,120702800033,2.00,2.00
6290,120702800040,1.00,1.00
6326,120702800040,1.00,1.00
6290,124182902027,1.00,1.00
6326,124182902027,1.00,1.00
6290,124182904021,1.00,1.00
6326,124182904021,1.00,1.00
6290,124182906025,1.00,1.00
6326,124182906025,2.00,2.00
6290,124182908029,2.00,2.00
6326,124182908029,2.00,2.00
6290,124182910022,1.00,1.00
6290,124182912026,1.00,1.00
6290,124182914020,1.00,1.00
6290,120670300306,1.00,1.00
6290,120670300320,2.00,2.00
6290,120670300344,1.00,1.00
6290,120670300368,2.00,2.00
6290,120670300382,1.00,1.00
6290,120670300405,2.00,2.00
6290,120849800026,2.00,2.00
