so_no,sku,ordered_qty,allocated_qty
6290,198838400281,2.00,2.00
6339,198838400281,2.00,2.00
6342,198838400281,2.00,2.00
6290,198838400304,2.00,2.00
6339,198838400304,1.00,1.00
6342,198838400304,1.00,1.00
6290,198838400328,3.00,3.00
6339,198838400328,1.00,1.00
6342,198838400328,2.00,2.00
6290,198838400342,2.00,2.00
6339,198838400342,2.00,2.00
6342,198838400342,1.00,1.00
6290,198838400366,2.00,2.00
6339,198838400366,1.00,1.00
6290,198838400380,2.00,2.00
6339,198838400380,2.00,0
6290,198838400403,2.00,2.00
6339,198838400403,2.00,2.00
6342,198838400403,1.00,1.00
6290,120851600027,3.00,3.00
6339,120851600027,1.00,1.00
6342,120851600027,3.00,3.00
6290,120702800019,1.00,1.00
6339,120702800019,1.00,1.00
6342,120702800019,1.00,1.00
6290,120702800026,1.00,1.00
6339,120702800026,2.00,2.00
6342,120702800026,1.00,1.00
6290,120702800033,2.00,2.00
6339,120702800033,1.00,1.00
6342,120702800033,3.00,3.00
6290,120702800040,1.00,1.00
6339,120702800040,2.00,2.00
6342,120702800040,1.00,1.00
6290,124182902027,1.00,1.00
6339,124182902027,2.00,2.00
6342,124182902027,1.00,1.00
6290,124182904021,1.00,1.00
6339,124182904021,2.00,2.00
6342,124182904021,1.00,1.00
6290,124182906025,1.00,1.00
6339,124182906025,2.00,2.00
6342,124182906025,2.00,2.00
6290,124182908029,2.00,2.00
6339,124182908029,1.00,1.00
6342,124182908029,3.00,3.00
6290,124182910022,1.00,1.00
6339,124182910022,2.00,2.00
6342,124182910022,1.00,1.00
6290,124182912026,1.00,1.00
6339,124182912026,1.00,1.00
6342,124182912026,3.00,3.00
6290,124182914020,1.00,1.00
6339,124182914020,1.00,1.00
6342,124182914020,1.00,1.00
6290,120670300306,1.00,1.00
6339,120670300306,2.00,2.00
6342,120670300306,3.00,3.00
6290,120670300320,2.00,2.00
6339,120670300320,3.00,3.00
6342,120670300320,2.00,2.00
6290,120670300344,1.00,1.00
6339,120670300344,1.00,1.00
6342,120670300344,1.00,1.00
6290,120670300368,2.00,2.00
6339,120670300368,1.00,1.00
6342,120670300368,2.00,2.00
6290,120670300382,1.00,1.00
6339,120670300382,2.00,2.00
6342,120670300382,3.00,3.00
6290,120670300405,2.00,2.00
6339,120670300405,2.00,2.00
6342,120670300405,1.00,1.00
6290,120849800026,2.00,2.00
6339,120849800026,1.00,1.00
6342,120849800026,1.00,1.00
6339,120849800040,1.00,1.00
6342,120849800040,2.00,2.00
6339,120849800064,1.00,1.00
6342,120849800064,1.00,1.00
6339,120849800088,1.00,1.00
6342,120849800088,1.00,1.00
6339,120849800101,2.00,2.00
6342,120849800101,2.00,2.00
6339,120849800125,3.00,3.00
6342,120849800125,1.00,1.00
6339,120849800149,3.00,3.00
6342,120849800149,1.00,1.00
6339,120720400017,2.00,2.00
6339,120720400024,1.00,1.00
6342,120720400024,1.00,1.00
6339,120720400031,1.00,1.00
6342,120720400031,3.00,3.00
6339,120720400048,2.00,2.00
6342,120720400048,3.00,3.00
6339,120662300284,3.00,3.00
6342,120662300284,2.00,2.00
6339,120662300307,1.00,1.00
6342,120662300307,4.00,4.00
6339,120662300321,2.00,2.00
6342,120662300321,1.00,1.00
6339,120662300345,1.00,1.00
6342,120662300345,2.00,2.00
6339,120662300369,2.00,2.00
6342,120662300369,1.00,1.00
6339,120662300383,1.00,1.00
6342,120662300383,1.00,1.00
6339,120662300406,2.00,2.00
6342,120662300406,1.00,1.00
6339,120851600041,1.00,1.00
6342,120851600041,2.00,2.00
6339,120851600065,3.00,3.00
6342,120851600065,1.00,1.00
6339,120851600089,3.00,3.00
6342,120851600089,2.00,2.00
6339,120851600102,2.00,2.00
6342,120851600102,1.00,1.00
6339,120851600126,1.00,1.00
6342,120851600126,2.00,2.00
6339,120851600140,1.00,1.00
6342,120851600140,1.00,1.00
6339,132300300013,3.00,3.00
6342,132300300013,2.00,2.00
6339,132300300020,1.00,1.00
6342,132300300020,1.00,1.00
6339,132300300037,3.00,3.00
6342,132300300037,2.00,2.00
6339,132300300044,1.00,1.00
6342,132300300044,2.00,2.00
6339,132305300018,4.00,4.00
6342,132305300018,1.00,1.00
6339,132305300025,1.00,1.00
6342,132305300025,1.00,1.00
6339,132305300032,1.00,1.00
6342,132305300032,1.00,1.00
6342,132305300049,2.00,2.00
6342,173547300008,3.00,3.00
6342,130234900002,1.00,1.00
6342,130234900026,2.00,2.00
6342,130234900040,2.00,2.00
6342,130234900019,1.00,1.00
6342,130234900033,1.00,1.00
